Rodilla izquierda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R1-ST, 15 dpl",,,"R1-ST, 30 dpl",,,"R2-ST, 15 dpl",,,"R2-ST, 30 dpl",,,"R3-ST, 15 dpl",,,"R3-ST, 30 dpl",,,"R4-ST, 15 dpl",,,"R4-ST, 30 dpl",,,"R5-ST, 15 dpl",,,"R5-ST, 30 dpl",,,"R6-ST, 15 dpl",,,"R6-ST, 30 dpl",,,"R1-TMX, 15 dpl",,,"R1-TMX, 30 dpl",,,"R2-TMX, 15 dpl",,,"R2-TMX, 30 dpl",,,"R3-TMX, 15 dpl",,,"R3-TMX, 30 dpl",,,"R4-TMX, 15 dpl",,,"R4-TMX, 30 dpl",,,"R5-TMX, 15 dpl",,,"R5-TMX, 30 dpl",,,"R6-TMX, 15 dpl",,,"R6-TMX, 30 dpl",,,"R1-EJE, 15 dpl",,,"R1-EJE, 30 dpl",,,"R2-EJE, 15 dpl",,,"R2-EJE, 30 dpl",,,"R3-EJE, 15 dpl",,,"R3-EJE, 30 dpl",,,"R4-EJE, 15 dpl",,,"R4-EJE, 30 dpl",,,"R5-EJE, 15 dpl",,,"R5-EJE, 30 dpl",,,"R6-EJE, 15 dpl",,,"R6-EJE, 30 dpl",,,"R1-TE, 15 dpl",,,"R1-TE, 30 dpl",,,"R2-TE, 15 dpl",,,"R2-TE, 30 dpl",,,"R3-TE, 15 dpl",,,"R3-TE, 30 dpl",,,"R4-TE, 15 dpl",,,"R4-TE, 30 dpl",,,"R5-TE, 15 dpl",,,"R5-TE, 30 dpl",,,"R6-TE, 15 dpl",,,"R6-TE, 30 dpl",,,"R1-VH, 15 dpl",,,"R1-VH, 30 dpl",,,"R2-VH, 15 dpl",,,"R2-VH, 30 dpl",,,"R3-VH, 15 dpl",,,"R3-VH, 30 dpl",,,"R4-VH, 15 dpl",,,"R4-VH, 30 dpl",,,"R5-VH, 15 dpl",,,"R5-VH, 30 dpl",,,"R6-VH, 15 dpl",,,"R6-VH, 30 dpl",,
Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3,Paso 1 ,Paso 2,Paso 3
38.305,51.8257,49.9948,38.8729,42.893,38.8729,59.3976,45.2361,47.7322,63.5703,59.08,63.7184,49.3236,49.3236,53.964,52.5452,53.3996,52.9724,47.0802,45.5865,47.7184,38.6201,36.2556,39.8822,47.1038,60.9197,58.251,53.2539,53.4529,64.8791,56.0604,61.8414,54.2441,63.7005,65.1169,57.8429,36.81995,35.3045,38.3354,36.602,40.7999,44.9978,49.453,48.3354,43.5493,41.2753,38.6332,38.0017,31.4413,34.82725,38.2132,39.8568,37.1513,36.8013,41.5712,42.0605,43.5963,32.0277,37.0983,38.2132,43.5493,50.6431,49.7295,37.8956,41.1763,41.1763,47.9586,43.651,47.1981,42.4246,43.8633,46.7381,36.684,33.7637,25.2005,36.2724,41.8653,39.06885,32.5189,28.1415,29.4998,23.717,27.0653,32.94,26.6319,26.0436,20.7875,31.191,28.3288,26.5677,45.7443,47.7488,45.3181,26.0124,27.1109,37.9572,50.9726,53.21375,55.4549,55.2963,56.04365,56.791,51.3654,53.5895,55.8136,37.9572,44.8578,45.3531,41.62445,41.0599,42.189,20.0177,32.455,32.8922,48.5795,43.0255,47.0828,41.4722,45.3531,45.3531,48.6665,48.6665,47.4382,54.65775,55.7711,53.5444,50.9726,45.8225,54.2579,53.5128,57.292,54.3231,46.4559,40.7782,38.0017,41.1757,42.1899,43.2041,54.0163,56.4002,48.6665,42.4246,49.6819,41.0606,43.50185,41.0336,45.9701,52.0423,52.0423,49.3236,45.6402,49.4886,50.1446,51.6066,51.0972,52.116,40.6599,43.1681,48.32,36.8013,44.5585,42.4171,45.3531,44.5585,40.4012,38.2132,42.7601,37.5973,33.8897,41.0465,47.1981,45.478,39.5395,42.7601,45.5655,45.4686,45.3717,59.5509,62.3606,59.143
37.0023,57.8765,51.8257,37.3506,45.5865,42.0582,56.5722,45.6098,47.6602,58.3031,58.7182,60.869,45.7796,50.069,50.069,53.3996,58.6784,56.039,52.791,49.9034,47.4001,39.0446,38.6201,34.7897,49.4169,58.7182,61.0715,53.2539,53.2539,59.0879,55.9962,61.9621,53.7175,63.4968,57.8429,61.4388,38.8912,35.6954,42.087,36.602,40.9839,45.3658,46.8143,46.4281,46.3312,44.9978,43.5963,43.1211,32.8305,36.2899,39.7493,39.8568,33.7637,40.1841,39.8707,40.7782,41.8653,32.4533,38.3354,41.0606,44.8578,52.347,49.1754,43.5963,43.0255,40.7782,51.2755,45.3531,49.1754,42.4246,47.2555,47.2555,37.9572,33.7637,31.1482,40.7782,43.1211,51.3913,35.4479,27.4392,28.1415,20.7875,21.3322,36.602,27.7738,23.3905,22.3838,31.9661,29.449,27.8981,48.4029,51.8898,47.7488,28.9043,33.8897,39.4167,52.3041,59.6316,56.791,55.4549,55.4549,55.534,51.9024,54.1858,58.0743,43.651,42.8316,45.3531,42.1302,44.7146,49.9247,20.0177,37.1433,34.868,52.8791,49.272,49.272,37.9572,46.4281,46.4281,49.6155,49.6155,48.6665,55.3388,57.1332,53.5444,46.4559,58.2606,52.6332,47.5736,47.5736,62.7741,47.4382,43.1211,39.1528,43.8633,45.5594,47.2555,62.8329,58.3373,49.6155,47.2555,48.2776,40.1302,43.21715,42.0133,44.421,54.0342,55.7024,52.0423,47.707,43.8003,53.1797,50.17675,52.0485,48.305,41.4875,45.9949,48.8881,41.0465,46.8143,44.5585,44.7582,51.2755,49.1754,39.5395,44.6225,41.8607,37.9572,40.4012,42.4171,44.1899,42.7601,47.2555,43.1517,38.2132,45.3717,59.143,64.1678,60.684
38.8519,66.3722,54.5941,38.5725,49.1624,41.7063,53.2539,43.4849,50.4789,55.8781,61.0715,61.324,47.6536,53.964,54.5941,56.8641,56.8641,56.8641,54.3673,49.1624,47.4001,41.2734,37.5849,38.5348,51.7654,53.9856,58.459,53.2539,56.2526,61.781,48.305,55.8033,53.7175,63.7005,62.9517,58.7011,37.67685,35.6954,39.6583,40.7782,42.8339,53.6121,48.3354,49.0826,45.3531,42.7379,40.7782,36.4924,32.196,40.0153,43.8439,36.8013,37.1513,36.684,43.5963,47.1719,44.5345,37.0983,49.979,43.8633,50.6431,56.8255,51.6344,44.5345,42.8339,44.9978,55.8136,47.1981,53.6649,42.7601,46.6341,46.6341,32.7398,31.82,28.1698,43.1211,43.5963,46.0948,34.3027,25.032,25.4162,27.3507,24.8282,42.8339,21.3322,24.8282,24.8282,33.0982,29.449,27.0179,48.4029,53.798,51.8898,31.82,32.6098,38.5241,49.358,59.8582,52.8791,58.2606,57.1801,56.4002,49.7295,53.4905,58.0743,45.3531,40.4012,47.1981,48.6225,51.3037,58.0795,24.4856,33.574,38.2053,57.1801,51.5581,55.7711,42.8316,44.8578,44.8578,53.6121,53.6121,48.6665,56.7721,63.3261,57.1332,51.3913,59.8582,54.5788,51.6578,50.9235,58.2596,49.872,40.4776,38.0017,47.2555,39.5395,45.478,55.7711,55.7711,51.5581,46.6341,48.2776,46.6341,42.0133,44.3496,45.6915,52.6168,55.2193,52.9736,44.7574,50.5243,46.1056,52.8543,53.4529,54.9624,51.6216,48.6928,52.0701,35.8536,51.2755,44.5585,46.8143,51.2755,49.1754,49.979,48.7826,46.4256,36.8013,47.1981,46.8143,41.8607,49.979,53.8262,39.3012,43.8633,45.478,60.684,68.912,61.4058
43.7617,66.3722,58.1446,47.0802,52.3176,47.7184,53.2539,45.0108,47.7322,56.145,63.7184,56.5172,50.069,56.3193,55.9085,54.803,57.6076,56.2053,52.3176,51.3016,46.3705,46.5704,39.0446,38.5348,46.1909,54.4765,59.5431,50.4789,57.5868,61.781,57.5868,57.7758,51.0972,62.0602,61.4388,61.7845,45.30775,44.1899,46.4256,45.3658,47.2608,60.385,47.6745,46.3312,45.3531,40.7782,39.1528,37.0375,43.6795,34.3713,47.8072,34.1406,35.6133,33.7637,43.1211,47.1719,48.6665,35.3045,54.5726,51.8317,47.1981,58.7334,55.8136,47.2608,44.9978,49.6155,60.4423,51.6344,58.2395,47.2555,53.4503,53.4503,33.8897,29.9048,32.7398,45.3658,43.5963,53.9356,37.2434,27.4392,32.0592,24.8282,30.5847,45.3658,24.9831,26.1918,22.0386,39.6066,31.191,28.8938,42.8702,57.9147,50.0892,29.9048,32.6098,42.4171,55.4549,58.9486,61.5789,58.9486,60.8344,55.9288,51.2755,58.0743,62.7559,44.7582,48.9897,51.6344,53.25,56.1522,62.0879,20.3596,25.3263,39.3049,60.385,53.6121,56.4002,44.7582,46.3312,46.3312,60.2348,60.2348,56.4002,55.7711,68.1421,60.2339,54.0163,65.3719,56.4002,46.1149,51.6578,59.6924,52.8791,40.4776,33.888,44.1899,42.7601,46.6341,58.0301,55.9288,49.272,44.1899,49.1838,37.3485,37.726,39.8787,43.4853,59.4735,57.9436,54.803,44.7574,48.8262,48.1009,52.116,58.9016,60.0756,57.8869,53.692,54.4182,38.0712,51.2755,51.6344,51.2755,51.2755,51.2755,51.2519,51.0575,51.2519,38.5241,46.8143,48.9897,48.7826,44.1899,53.8262,44.1082,48.2776,47.2555,64.1678,70.3344,63.3856
39.9268,53.7528,51.681,50.6971,63.6389,50.6971,56.2526,43.5622,47.7322,51.4832,61.0715,52.6057,49.9948,62.079,60.0656,54.0342,58.4786,56.2564,44.7919,52.791,46.6941,50.4098,38.5348,49.855,48.1224,55.7711,62.6772,50.6856,54.8323,56.0604,62.7433,57.9016,52.116,62.815,66.1187,60.1846,32.4533,42.087,48.7826,51.5581,51.5581,58.3373,46.3312,49.7295,51.6344,40.4776,37.8956,38.6332,49.6973,39.9268,46.017,33.7637,34.7609,30.6012,47.1719,56.4002,52.0563,41.0606,46.6341,41.8607,47.1981,59.5509,55.8136,49.272,49.272,47.0828,65.1771,60.4423,65.486,47.2555,53.4503,53.4503,29.4798,31.1482,33.8897,49.6155,49.6155,55.7711,39.9976,37.2434,36.699,26.1918,34.4687,58.3373,28.8741,26.1918,26.1918,41.5819,35.1482,30.9288,50.3267,57.9147,58.4873,30.0452,35.8536,44.7582,55.534,67.4369,63.4181,58.0301,65.3719,64.7963,55.8136,62.9137,70.3344,51.6344,55.8136,52.347,60.0583,64.7366,57.5197,21.729,24.533,39.429,67.4369,55.9288,60.8344,51.2755,49.1754,49.1754,64.9404,64.9404,60.385,52.693,77.189,68.1421,58.9486,69.6107,62.8329,50.5005,49.3236,62.958,51.5581,43.5963,37.0375,48.7826,44.6225,42.087,60.8344,60.385,53.6121,46.4256,53.4503,44.1899,38.5351,41.3371,42.9014,63.6122,66.1859,57.8765,42.0215,52.2876,52.2876,53.2539,68.8168,62.9228,63.271,57.8869,58.0949,42.8316,49.7295,49.7295,51.2755,51.2755,53.4905,53.4503,48.7826,51.2519,40.4012,48.9897,51.2755,49.1838,48.7826,51.0575,51.1757,49.1838,49.1838,66.1015,75.04,67.7037
28.3624,36.6229,39.9268,59.5798,67.9661,60.2313,49.4358,45.0108,46.129,51.9904,63.5703,55.0724,54.5941,68.5265,66.3722,53.964,54.0342,53.9991,32.3333,56.0264,50.6971,56.0604,42.3118,53.7836,52.717,54.1496,61.5255,48.8022,58.2778,59.0879,53.2539,64.6437,50.7544,58.9144,66.1187,60.9528,33.973,53.8262,53.4503,53.9356,49.6155,41.1763,50.6431,54.1858,51.2755,37.8956,44.9978,41.1763,49.6973,47.6536,51.8257,31.1482,28.9043,30.6012,52.8791,57.1801,49.6155,30.7195,39.6583,33.1517,35.8536,58.7334,55.8136,53.6121,51.3913,51.5581,75.3303,70.036,67.7037,46.6341,60.582,58.2079,35.2502,28.4657,27.5693,51.5581,53.6121,55.9288,28.1415,32.6708,37.2434,26.1918,36.602,57.1801,26.0436,28.3288,28.3288,52.5902,39.3939,37.3227,45.6593,49.4518,60.9528,34.2655,40.4012,46.8143,61.5789,69.6107,69.6107,62.5391,60.385,69.4714,60.4423,72.6287,72.6287,55.8136,65.1771,49.7295,63.1105,56.6262,42.482,24.5803,25.3263,26.1862,62.5391,60.8344,58.9486,65.1771,51.2755,51.2755,74.2789,74.2789,67.154,57.4031,85.8433,75.0844,60.385,74.2789,69.4714,53.411,53.411,68.086,51.5581,48.6665,35.3806,49.1838,48.7826,53.4503,63.4181,62.5391,53.6121,51.0575,53.4503,48.7826,38.5351,44.5636,48.2879,61.1097,74.8758,55.2193,47.1968,54.4217,52.2876,57.3342,70.6892,70.3504,69.8734,65.4555,61.2116,42.8316,49.7295,54.1858,42.8316,48.9897,46.8143,53.8262,51.0575,48.7826,36.0926,46.8143,51.2755,51.8317,46.6341,53.4503,48.2132,49.1838,48.7826,70.3344,62.9137,65.1771
32.196,41.7522,39.9268,63.429,67.9661,58.0975,50.2023,45.0108,52.116,45.3883,60.869,56.0917,55.9085,77.6846,70.7698,59.4735,59.143,59.30825,28.3327,53.9035,48.6638,51.8457,47.9476,53.9154,48.1224,56.0917,62.378,50.2023,50.2023,56.2526,54.9624,60.5657,54.506,56.1016,69.7944,60.3947,35.6954,53.8262,53.4503,49.6155,35.3806,28.8741,56.8255,58.2395,51.2755,41.963,42.8339,41.963,46.017,46.017,44.334,32.7398,29.9048,27.7206,47.7916,47.7916,43.5963,33.973,37.3485,33.1517,33.7637,42.4171,46.8143,53.6121,55.9288,51.5581,55.0466,67.5519,60.4423,51.2519,68.0606,65.6739,34.2655,30.0452,29.4798,58.3373,60.2348,52.0563,28.1415,23.6417,39.2273,28.3288,40.7782,35.2677,28.3288,32.4569,24.8282,57.0602,52.5902,41.5819,36.5857,37.3945,47.7488,38.0712,42.4171,51.6344,74.4144,71.8917,67.154,49.272,49.272,67.154,67.7037,78.1424,70.036,62.7559,70.036,49.7295,52.4577,49.0942,35.8536,26.7161,26.8471,21.729,56.85675,60.8344,52.8791,60.4423,55.8136,55.8136,65.3719,65.3719,71.8917,63.4108,73.5121,74.1425,69.6107,76.7725,77.0405,58.1633,61.2913,70.1014,58.0301,47.7916,38.8417,57.4031,55.7711,55.954,58.9486,52.0563,56.4002,51.2519,58.5634,48.7826,43.4853,46.3165,48.1539,48.2659,67.1146,47.5767,45.4061,49.4886,57.6447,66.1077,57.9016,66.1077,72.2662,68.8212,62.5613,39.5271,36.8013,52.347,31.82,38.5241,36.0926,37.3485,40.1302,40.1302,38.5241,53.6649,51.2755,55.954,46.6341,55.954,42.4246,51.2519,48.7826,65.1771,56.8143,53.4905
41.3236,45.0614,38.2132,59.5798,65.4599,37.2731,46.7899,42.7842,47.5881,50.1702,61.0715,56.145,60.0656,75.2875,79.9444,65.3131,59.4735,62.3933,57.5982,30.624,33.0293,32.7792,46.129,49.9941,48.1224,53.9309,58.459,50.7544,54.506,54.8323,58.9016,60.5657,51.0972,64.4445,71.4067,60.3947,35.1733,46.4256,44.1899,33.888,32.94,26.1918,56.1522,53.6649,58.0743,41.1763,47.2608,43.5963,37.8441,46.017,28.3624,33.8897,31.1482,34.1406,37.0375,34.6987,32.94,41.5193,42.4246,39.5395,41.4722,29.4798,32.6098,51.5581,45.3658,32.94,44.8578,56.8255,49.7295,55.7711,65.5077,68.0606,36.0926,28.4657,33.7637,64.9404,60.2348,53.9356,25.032,25.032,35.4479,40.4776,36.4924,31.4708,24.1991,37.8956,28.8741,46.264,48.0174,43.6795,32.9587,34.0606,37.3945,42.4171,46.8143,47.1981,62.8329,67.154,65.3719,43.0255,38.8417,53.6121,80.4992,82.9812,75.3303,60.4423,62.9137,47.1981,40.7585,35.9882,39.0353,33.1448,27.7054,22.3061,41.1763,52.0563,43.1211,54.1858,51.2755,51.2755,58.9486,58.9486,67.4369,58.5634,53.8262,74.1425,74.4144,76.7725,74.4144,59.9764,55.1252,72.2633,45.22415,49.272,41.1763,63.3261,55.954,58.2079,58.9486,44.5345,56.4002,53.8262,66.1712,49.1838,40.8812,48.2879,53.8763,39.9268,48.2659,42.7665,52.9184,53.544,63.1698,57.7758,44.1003,53.9154,50.621,54.7248,46.544,35.6133,33.8897,32.7398,33.7637,31.82,34.2655,30.7195,32.8739,28.7354,35.8536,42.8316,49.1754,55.954,51.2519,58.2079,51.0606,55.7711,55.954,48.9897,36.0926,42.4171
59.143,50.069,50.069,41.4941,43.5106,29.018,45.9811,48.2337,44.1767,48.5371,60.9197,56.7292,68.6486,78.0334,71.0104,62.8482,56.3193,59.58375,60.3936,32.5085,30.624,25.3189,49.855,32.7792,52.6613,56.7292,58.407,50.7544,49.6457,52.8543,55.8033,57.3342,54.9624,61.7845,62.404,60.3947,32.8739,33.1517,33.1517,32.94,26.486,26.0436,51.2755,40.4012,53.6649,40.7782,53.9356,48.6665,33.9664,36.6229,28.3624,31.1482,35.2502,31.1482,36.4924,33.417,33.417,60.0594,51.2519,51.1548,56.4895,37.1513,32.6098,34.6987,30.5847,28.8741,42.104,42.104,42.104,60.582,63.0718,68.0606,38.0712,32.6098,31.5528,69.4714,58.3373,52.0563,29.4998,29.4998,23.6417,32.5783,27.3507,28.3288,28.3288,36.4924,30.5847,33.67435,35.3826,31.9661,45.489,38.385,42.6013,42.4171,36.0926,39.4167,55.7711,55.7711,53.6121,44.9978,36.602,42.8339,81.0679,72.6287,67.7037,45.3531,49.0826,54.1858,37.7643,34.2732,49.9247,42.7511,35.82,25.6462,43.5963,47.7916,35.2677,36.0926,38.5241,38.5241,40.7782,40.7782,53.9356,46.6341,42.7601,61.2747,64.7963,58.0301,62.5391,49.3236,55.1252,55.8206,60.2348,51.5581,47.2608,77.189,61.2747,66.1712,41.963,35.3806,56.4002,49.1838,66.9959,46.4256,44.5636,46.3165,55.8919,36.0473,36.0473,35.1686,54.113,56.9997,63.5435,39.5792,40.6236,38.5348,36.5613,44.5259,39.7723,29.9048,29.9048,35.6133,40.7249,31.1482,31.5528,28.7354,28.7354,28.419,27.5693,34.2655,36.8013,64.0858,58.5634,63.4108,38.3354,51.0575,45.7711,38.5241,34.2655,34.2655
